date1,intensity1,date2,intensity2
20200110,6.6375,20190121,5.1219
20200111,5.0008,20190122,5.0817
20200112,4.7315,20190123,5.0606
20200113,6.4348,20190124,5.1698
20200114,6.351,20190125,4.9769
20200115,6.3716,20190126,3.6434
20200116,6.2938,20190127,3.3609
20200117,6.1884,20190128,4.7515
20200118,4.4901,20190129,4.5689
20200119,5.3592,20190130,4.3338
20200120,5.2178,20190131,4.2049
20200121,4.6594,20190201,3.5228
20200122,3.9546,20190202,3.1155
20200123,3.0974,20190203,2.3946
20200124,2.4029,20190204,2.0752
20200125,1.8254,20190205,1.9505
20200126,1.6544,20190206,2.0304
20200127,1.4808,20190207,1.9313
20200128,1.386,20190208,1.9967
20200129,1.4498,20190209,2.0932
20200130,1.3431,20190210,2.1831
20200131,1.5133,20190211,3.4575
20200201,1.4764,20190212,3.7219
20200202,1.3508,20190213,4.14
20200203,1.8071,20190214,4.0488
20200204,1.6746,20190215,4.2197
20200205,1.563,20190216,3.1755
20200206,1.4363,20190217,3.1204
20200207,1.6097,20190218,4.8428
