date1,intensity1,date2,intensity2
1/10/2020,4.9848,1/21/2019,4.0621
1/11/2020,4.252,1/22/2019,3.9786
1/12/2020,3.8537,1/23/2019,3.9
1/13/2020,4.6548,1/24/2019,3.9708
1/14/2020,4.5833,1/25/2019,3.8183
1/15/2020,4.5377,1/26/2019,3.171
1/16/2020,4.3989,1/27/2019,2.8239
1/17/2020,4.1736,1/28/2019,3.3756
1/18/2020,3.3005,1/29/2019,3.1828
1/19/2020,3.3742,1/30/2019,2.9745
1/20/2020,3.2487,1/31/2019,2.8306
1/21/2020,2.8781,2/1/2019,2.3411
1/22/2020,2.4538,2/2/2019,2.0756
1/23/2020,2.0448,2/3/2019,1.7349
1/24/2020,1.5617,2/4/2019,1.466
1/25/2020,1.1917,2/5/2019,1.5546
1/26/2020,1.1227,2/6/2019,1.6432
1/27/2020,0.9627,2/7/2019,1.4748
1/28/2020,0.947,2/8/2019,1.5104
1/29/2020,0.9374,2/9/2019,1.5549
1/30/2020,0.9329,2/10/2019,1.7053
1/31/2020,0.9848,2/11/2019,2.243
2/1/2020,0.9768,2/12/2019,2.7817
2/2/2020,0.9485,2/13/2019,3.0384
2/3/2020,1.0975,2/14/2019,3.2508
2/4/2020,1.0279,2/15/2019,3.3616
2/5/2020,1.0336,2/16/2019,3.0313
2/6/2020,1.0291,2/17/2019,2.7999
2/7/2020,1.0444,2/18/2019,3.6361
