date1,intensity1,date2,intensity2
1/10/2020,5.2869,1/21/2019,4.2406
1/11/2020,4.5758,1/22/2019,4.1506
1/12/2020,4.4623,1/23/2019,4.155
1/13/2020,5.1153,1/24/2019,4.2508
1/14/2020,4.9653,1/25/2019,4.1574
1/15/2020,4.9406,1/26/2019,3.6291
1/16/2020,4.9637,1/27/2019,3.4154
1/17/2020,4.911,1/28/2019,4.0416
1/18/2020,4.2548,1/29/2019,3.8869
1/19/2020,4.5793,1/30/2019,3.8637
1/20/2020,4.4952,1/31/2019,3.8315
1/21/2020,4.2992,2/1/2019,3.3612
1/22/2020,3.9514,2/2/2019,3.2607
1/23/2020,3.3096,2/3/2019,2.6496
1/24/2020,2.6627,2/4/2019,2.2946
1/25/2020,2.0417,2/5/2019,2.3207
1/26/2020,2.1681,2/6/2019,2.3468
1/27/2020,2.0425,2/7/2019,2.2898
1/28/2020,1.9418,2/8/2019,2.3037
1/29/2020,2.0113,2/9/2019,2.398
1/30/2020,2.0257,2/10/2019,2.5632
1/31/2020,2.022,2/11/2019,3.2943
2/1/2020,1.8651,2/12/2019,3.6014
2/2/2020,1.7323,2/13/2019,3.7167
2/3/2020,1.826,2/14/2019,3.7738
2/4/2020,1.6744,2/15/2019,3.7802
2/5/2020,1.5499,2/16/2019,3.3239
2/6/2020,1.4021,2/17/2019,3.1712
2/7/2020,1.3991,2/18/2019,3.9972
