date1,intensity1,date2,intensity2
2020-01-10,5.8115,2019-01-21,4.6687
2020-01-11,5.0368,2019-01-22,4.6786
2020-01-12,4.9948,2019-01-23,4.6758
2020-01-13,5.4807,2019-01-24,4.8603
2020-01-14,5.1089,2019-01-25,4.992
2020-01-15,5.3438,2019-01-26,4.4781
2020-01-16,5.3004,2019-01-27,4.2622
2020-01-17,5.5854,2019-01-28,4.7985
2020-01-18,4.8592,2019-01-29,4.7568
2020-01-19,5.0449,2019-01-30,4.6592
2020-01-20,4.8849,2019-01-31,4.6527
2020-01-21,4.6306,2019-02-01,4.1823
2020-01-22,4.4372,2019-02-02,4.0433
2020-01-23,4.0187,2019-02-03,3.5381
2020-01-24,3.1209,2019-02-04,3.0128
2020-01-25,1.9272,2019-02-05,3.158
2020-01-26,2.3237,2019-02-06,3.3033
2020-01-27,2.0616,2019-02-07,3.3406
2020-01-28,2.1143,2019-02-08,3.4666
2020-01-29,2.126,2019-02-09,3.4279
2020-01-30,2.1756,2019-02-10,3.5276
2020-01-31,2.137,2019-02-11,3.8753
2020-02-01,2.065,2019-02-12,4.1846
2020-02-02,2.0675,2019-02-13,4.3135
2020-02-03,2.0239,2019-02-14,4.3905
2020-02-04,2.0438,2019-02-15,4.3345
2020-02-05,1.9235,2019-02-16,3.9866
2020-02-06,1.9104,2019-02-17,3.4298
2020-02-07,1.8869,2019-02-18,4.3991
