date1,intensity1,date2,intensity2
2020-01-10,6.8167,2019-01-21,5.4413
2020-01-11,5.2001,2019-01-22,5.393
2020-01-12,4.9712,2019-01-23,5.3908
2020-01-13,6.7019,2019-01-24,5.4505
2020-01-14,6.5873,2019-01-25,5.2313
2020-01-15,6.5583,2019-01-26,3.8797
2020-01-16,6.3318,2019-01-27,3.5333
2020-01-17,6.2951,2019-01-28,4.9369
2020-01-18,4.5989,2019-01-29,4.7516
2020-01-19,5.2619,2019-01-30,4.5443
2020-01-20,5.2413,2019-01-31,4.2594
2020-01-21,4.7124,2019-02-01,3.6488
2020-01-22,3.9841,2019-02-02,3.1859
2020-01-23,3.2991,2019-02-03,2.5516
2020-01-24,2.4791,2019-02-04,2.1531
2020-01-25,1.7764,2019-02-05,2.0209
2020-01-26,1.6174,2019-02-06,2.0571
2020-01-27,1.6,2019-02-07,1.8386
2020-01-28,1.5664,2019-02-08,1.9229
2020-01-29,1.5537,2019-02-09,2.0376
2020-01-30,1.4803,2019-02-10,2.1333
2020-01-31,1.6171,2019-02-11,3.6271
2020-02-01,1.5741,2019-02-12,4.0273
2020-02-02,1.4982,2019-02-13,4.4191
2020-02-03,1.8374,2019-02-14,4.5093
2020-02-04,1.7304,2019-02-15,4.5864
2020-02-05,1.7024,2019-02-16,3.5138
2020-02-06,1.5969,2019-02-17,3.3562
2020-02-07,1.6274,2019-02-18,5.2075
