date,confirmed,search_intensity
2019-12-01,1,126
2019-12-02,1,146
2019-12-03,1,146
2019-12-06,2,146
2019-12-07,1,139
2019-12-08,1,130
2019-12-09,2,167
2019-12-10,1,139
2019-12-11,4,149
2019-12-12,4,140
2019-12-13,4,162
2019-12-14,4,141
2019-12-15,6,139
2019-12-16,6,156
2019-12-17,7,161
2019-12-18,8,151
2019-12-19,9,151
2019-12-20,14,145
2019-12-21,18,146
2019-12-22,21,146
2019-12-23,29,141
2019-12-24,30,143
2019-12-25,33,68
2019-12-26,35,148
2019-12-27,37,141
2019-12-28,37,133
2019-12-29,37,135
2019-12-30,37,138
2019-12-31,40,138
2020-01-01,43,128
2020-01-02,44,137
2020-01-03,41,135
2020-01-04,41,131
2020-01-05,41,68
2020-01-06,41,146
2020-01-07,41,131
2020-01-08,41,135
2020-01-09,41,145
2020-01-10,38,72
2020-01-11,34,122
2020-01-12,33,124
2020-01-13,33,78
2020-01-14,33,133
2020-01-15,27,156
2020-01-16,28,137
2020-01-17,41,66
2020-01-18,171,66
2020-01-19,246,70
2020-01-20,260,148
2020-01-21,406,158
2020-01-22,529,153
2020-01-23,771,161
2020-01-24,1208,152
2020-01-25,1870,188
2020-01-26,2613,303
2020-01-27,4349,438
2020-01-28,5739,570
2020-01-29,7417,731
2020-01-30,9308,929
2020-01-31,11289,1278
2020-02-01,13748,1554
2020-02-02,16369,1786
2020-02-03,19381,2806
2020-02-04,22942,2238
2020-02-05,26302,2331
2020-02-06,28985,2299
2020-02-07,31819,2214
2020-02-08,33699,1888
2020-02-09,36032,2214
2020-02-10,37693,2890
2020-02-11,38874,2214
2020-02-12,51933,2050
2020-02-13,55823,2681
2020-02-14,56950,1889
2020-02-15,57493,1562
2020-02-16,58005,1796
2020-02-17,58097,2186
2020-02-18,57883,1998
2020-02-19,56812,1602
2020-02-20,55477,1613
2020-02-21,53372,1429
2020-02-22,51494,1121
2020-02-23,49910,1240
2020-02-24,47760,1666
2020-02-25,45697,1211
2020-02-26,43352,1413
2020-02-27,40011,1496
2020-02-28,37502,1054
2020-02-29,35420,1074
2020-03-01,32741,563
2020-03-02,30096,1391
2020-03-03,27524,1023
2020-03-04,25441,1283
2020-03-05,23872,798
2020-03-06,22263,864
2020-03-07,20616,662
2020-03-08,19097,648
2020-03-09,17802,1119
2020-03-10,16226,617
2020-03-11,14932,650
2020-03-12,13607,956
2020-03-13,12178,590
