date1,intensity1,date2,intensity2
20200101,4.6674,20190112,3.7755
20200102,5.34,20190113,3.5898
20200103,5.4058,20190114,4.1725
20200104,4.5407,20190115,4.4365
20200105,4.4472,20190116,4.2883
20200106,5.2777,20190117,4.29
20200107,5.261,20190118,4.2917
20200108,5.3409,20190119,3.7501
20200109,5.3065,20190120,3.5767
20200110,5.2869,20190121,4.2406
20200111,4.5758,20190122,4.1506
20200112,4.4623,20190123,4.155
20200113,5.1153,20190124,4.2508
20200114,4.9653,20190125,4.1574
20200115,4.9406,20190126,3.6291
20200116,4.9637,20190127,3.4154
20200117,4.911,20190128,4.0416
20200118,4.2548,20190129,3.8869
20200119,4.5793,20190130,3.8637
20200120,4.4952,20190131,3.8315
20200121,4.2992,20190201,3.3612
20200122,3.9514,20190202,3.2607
20200123,3.3096,20190203,2.6496
20200124,2.6627,20190204,2.2946
20200125,2.0417,20190205,2.3207
20200126,2.1681,20190206,2.3468
20200127,2.0425,20190207,2.2898
20200128,1.9418,20190208,2.3037
20200129,2.0113,20190209,2.398
20200130,2.0257,20190210,2.5632
20200131,2.022,20190211,3.2943
20200201,1.8651,20190212,3.6014
20200202,1.7323,20190213,3.7167
20200203,1.826,20190214,3.7738
20200204,1.6744,20190215,3.7802
20200205,1.5499,20190216,3.3239
20200206,1.4021,20190217,3.1712
20200207,1.3991,20190218,3.9972
20200208,1.2407,20190219,3.8478
20200209,1.2285,20190220,4.0528
20200210,1.6229,20190221,4.1689
20200211,1.5318,20190222,4.3056
20200212,1.5649,20190223,3.7677
20200213,1.6362,20190224,3.7806
20200214,1.6933,20190225,4.3176
20200215,1.2808,20190226,4.2466
20200216,1.4595,20190227,4.4415
20200217,2.1525,20190228,4.5932
20200218,2.2013,20190301,4.8845
20200219,2.3324,20190302,4.2862
20200220,2.3472,20190303,4.2029
20200221,2.4636,20190304,4.4537
20200222,2.0302,20190305,4.5688
20200223,2.1002,20190307,4.3427
20200224,3.0752,20190308,4.6938
20200225,3.0847,20190309,4.1502
20200226,3.1976,20190310,4.1813
20200227,3.2375,20190311,4.5867
20200228,3.2358,20190312,4.5761
20200229,2.8511,20190313,4.5895
20200301,2.7496,20190314,4.4784
20200302,3.7367,20190315,4.9209
20200303,3.6803,20190316,4.3744
20200304,3.7313,20190317,4.1078
20200305,3.7729,20190318,4.5514
20200306,3.9078,20190319,4.5871
20200307,3.2614,20190320,4.6249
20200308,3.2979,20190321,4.5901
20200309,4.1412,20190322,4.8842
20200310,4.0729,20190323,4.1985
20200311,4.0731,20190324,4.0613
20200312,4.1548,20190325,4.6094
20200313,4.2177,20190326,4.5023
