date1,intensity1,date2,intensity2
20200101,5.2518,20190112,4.4666
20200102,5.4914,20190113,4.267
20200103,5.6506,20190114,4.6802
20200104,5.0906,20190115,4.8081
20200105,4.9124,20190116,4.5487
20200106,5.4914,20190117,4.703
20200107,5.5317,20190118,4.8574
20200108,5.5348,20190119,4.4525
20200109,5.5558,20190120,4.1648
20200110,5.8115,20190121,4.6687
20200111,5.0368,20190122,4.6786
20200112,4.9948,20190123,4.6758
20200113,5.4807,20190124,4.8603
20200114,5.1089,20190125,4.992
20200115,5.3438,20190126,4.4781
20200116,5.3004,20190127,4.2622
20200117,5.5854,20190128,4.7985
20200118,4.8592,20190129,4.7568
20200119,5.0449,20190130,4.6592
20200120,4.8849,20190131,4.6527
20200121,4.6306,20190201,4.1823
20200122,4.4372,20190202,4.0433
20200123,4.0187,20190203,3.5381
20200124,3.1209,20190204,3.0128
20200125,1.9272,20190205,3.158
20200126,2.3237,20190206,3.3033
20200127,2.0616,20190207,3.3406
20200128,2.1143,20190208,3.4666
20200129,2.126,20190209,3.4279
20200130,2.1756,20190210,3.5276
20200131,2.137,20190211,3.8753
20200201,2.065,20190212,4.1846
20200202,2.0675,20190213,4.3135
20200203,2.0239,20190214,4.3905
20200204,2.0438,20190215,4.3345
20200205,1.9235,20190216,3.9866
20200206,1.9104,20190217,3.4298
20200207,1.8869,20190218,4.3991
20200208,1.7189,20190219,4.4103
20200209,1.7463,20190220,4.5527
20200210,2.136,20190221,4.5678
20200211,2.0186,20190222,4.6549
20200212,2.0206,20190223,4.2047
20200213,2.0621,20190224,4.2539
20200214,2.1281,20190225,4.4772
20200215,1.8757,20190226,4.487
20200216,1.8099,20190227,4.6604
20200217,2.3671,20190228,4.8243
20200218,2.3929,20190301,5.1285
20200219,2.4071,20190302,4.8002
20200220,2.5121,20190303,4.5768
20200221,2.6466,20190304,4.6607
20200222,2.3156,20190305,4.9168
20200223,2.3403,20190307,4.3827
20200224,3.1743,20190308,4.7851
20200225,3.2234,20190309,4.2348
20200226,3.3324,20190310,4.5906
20200227,3.4052,20190311,4.8427
20200228,3.4155,20190312,4.9133
20200229,3.065,20190313,4.8646
20200301,3.1122,20190314,4.7635
20200302,3.8444,20190315,5.1306
20200303,3.8977,20190316,4.6284
20200304,3.4943,20190317,4.1893
20200305,3.9398,20190318,4.6822
20200306,3.9536,20190319,4.8023
20200307,3.5146,20190320,4.8379
20200308,3.5196,20190321,4.8332
20200309,4.4216,20190322,4.8685
20200310,4.3924,20190323,4.3334
20200311,4.3649,20190324,4.3307
20200312,4.3695,20190325,4.7489
20200313,4.5028,20190326,4.6538
