date1,intensity1,date2,intensity2
20200101,4.8945,20190112,4.2438
20200102,6.8176,20190113,3.9403
20200103,6.8635,20190114,5.6728
20200104,5.1651,20190115,5.805
20200105,4.8698,20190116,5.553
20200106,6.961,20190117,5.6325
20200107,6.8787,20190118,5.7119
20200108,6.8407,20190119,4.2995
20200109,6.7911,20190120,3.9288
20200110,6.8167,20190121,5.4413
20200111,5.2001,20190122,5.393
20200112,4.9712,20190123,5.3908
20200113,6.7019,20190124,5.4505
20200114,6.5873,20190125,5.2313
20200115,6.5583,20190126,3.8797
20200116,6.3318,20190127,3.5333
20200117,6.2951,20190128,4.9369
20200118,4.5989,20190129,4.7516
20200119,5.2619,20190130,4.5443
20200120,5.2413,20190131,4.2594
20200121,4.7124,20190201,3.6488
20200122,3.9841,20190202,3.1859
20200123,3.2991,20190203,2.5516
20200124,2.4791,20190204,2.1531
20200125,1.7764,20190205,2.0209
20200126,1.6174,20190206,2.0571
20200127,1.6,20190207,1.8386
20200128,1.5664,20190208,1.9229
20200129,1.5537,20190209,2.0376
20200130,1.4803,20190210,2.1333
20200131,1.6171,20190211,3.6271
20200201,1.5741,20190212,4.0273
20200202,1.4982,20190213,4.4191
20200203,1.8374,20190214,4.5093
20200204,1.7304,20190215,4.5864
20200205,1.7024,20190216,3.5138
20200206,1.5969,20190217,3.3562
20200207,1.6274,20190218,5.2075
20200208,1.5089,20190219,5.0868
20200209,1.5218,20190220,5.1682
20200210,2.5668,20190221,5.2638
20200211,2.2464,20190222,5.4043
20200212,2.3472,20190223,4.1121
20200213,2.3907,20190224,3.8444
20200214,2.4369,20190225,5.6244
20200215,1.6099,20190226,5.6235
20200216,1.5291,20190227,5.7847
20200217,2.7933,20190228,6.0463
20200218,2.7717,20190301,6.1508
20200219,2.8238,20190302,4.2917
20200220,2.943,20190303,4.1218
20200221,3.0464,20190304,5.8533
20200222,2.0633,20190305,6.0216
20200223,1.9461,20190307,5.8454
20200224,3.7677,20190308,5.9688
20200225,3.7491,20190309,4.295
20200226,3.7589,20190310,4.1747
20200227,3.8518,20190311,5.9631
20200228,3.8699,20190312,6.013
20200229,2.4827,20190313,6.0263
20200301,2.3332,20190314,5.8369
20200302,4.4739,20190315,6.133
20200303,4.4715,20190316,4.6191
20200304,4.4859,20190317,4.1647
20200305,4.5436,20190318,5.7613
20200306,4.6154,20190319,5.9238
20200307,3.0023,20190320,5.9294
20200308,2.7748,20190321,5.8514
20200309,4.8557,20190322,6.0261
20200310,4.9855,20190323,4.4839
20200311,5.0487,20190324,4.1842
20200312,5.0644,20190325,5.9344
20200313,5.0823,20190326,5.8626
