date1,intensity1,date2,intensity2
20200101,4.2826,20190112,3.7253
20200102,5.2757,20190113,3.5147
20200103,5.334,20190114,4.3003
20200104,4.3842,20190115,4.4622
20200105,4.1317,20190116,4.2665
20200106,5.2662,20190117,4.3427
20200107,5.2815,20190118,4.419
20200108,5.3214,20190119,3.702
20200109,5.1513,20190120,3.45
20200110,5.2171,20190121,4.1991
20200111,4.4613,20190122,4.1418
20200112,4.2045,20190123,4.1328
20200113,5.1656,20190124,4.2874
20200114,5.1121,20190125,4.152
20200115,4.9132,20190126,3.488
20200116,4.9241,20190127,3.2698
20200117,4.8733,20190128,3.9469
20200118,4.0436,20190129,3.8103
20200119,4.3249,20190130,3.5881
20200120,4.2152,20190131,3.5472
20200121,3.5992,20190201,3.0917
20200122,2.8838,20190202,2.845
20200123,1.9621,20190203,2.3166
20200124,1.2811,20190204,1.9864
20200125,0.8931,20190205,2.031
20200126,0.6259,20190206,2.0023
20200127,0.6573,20190207,1.894
20200128,0.6747,20190208,1.9139
20200129,0.6829,20190209,1.9893
20200130,0.6645,20190210,2.1716
20200131,0.6906,20190211,2.9441
20200201,0.6902,20190212,3.3213
20200202,0.6617,20190213,3.5623
20200203,0.693,20190214,3.6567
20200204,0.6791,20190215,3.64
20200205,0.6667,20190216,3.1617
20200206,0.6,20190217,3.0862
20200207,0.6171,20190218,3.9827
20200208,0.609,20190219,3.8194
20200209,0.616,20190220,4.0143
20200210,0.6168,20190221,4.0514
20200211,0.6076,20190222,4.2747
20200212,0.5958,20190223,3.6909
20200213,0.6191,20190224,3.5353
20200214,0.6714,20190225,4.3351
20200215,0.5963,20190226,4.2806
20200216,0.5791,20190227,4.3835
20200217,0.5928,20190228,4.6221
20200218,0.5785,20190301,4.6993
20200219,0.5739,20190302,3.9236
20200220,0.5907,20190303,3.8279
20200221,0.5968,20190304,4.4992
20200222,0.5687,20190305,4.5464
20200223,0.5693,20190307,4.5051
20200224,0.6197,20190308,4.7287
20200225,0.6107,20190309,4.0333
20200226,0.6198,20190310,3.9043
20200227,0.6085,20190311,4.5879
20200228,0.613,20190312,4.6274
20200229,0.6184,20190313,4.6469
20200301,0.6157,20190314,4.5595
20200302,0.654,20190315,4.8362
20200303,0.6523,20190316,4.1974
20200304,0.6699,20190317,3.8384
20200305,0.6743,20190318,4.5331
20200306,0.677,20190319,4.5937
20200307,0.6507,20190320,4.6194
20200308,0.6526,20190321,4.5498
20200309,0.698,20190322,4.7073
20200310,0.7233,20190323,4.0877
20200311,0.7329,20190324,3.8641
20200312,0.7344,20190325,4.6319
20200313,0.7545,20190326,4.5567
