date1,intensity1,date2,intensity2
20200101,5.3678,20190112,5.1196
20200102,6.6463,20190113,4.7568
20200103,6.7073,20190114,5.6424
20200104,6.0215,20190115,5.7849
20200105,5.6218,20190116,5.5322
20200106,6.7767,20190117,5.5876
20200107,6.679,20190118,5.643
20200108,6.6686,20190119,4.9827
20200109,6.5689,20190120,4.5386
20200110,6.5839,20190121,5.3515
20200111,5.8127,20190122,5.3766
20200112,5.4658,20190123,5.331
20200113,6.4386,20190124,5.4219
20200114,6.3802,20190125,5.2454
20200115,6.2638,20190126,4.5232
20200116,5.9882,20190127,4.1158
20200117,5.9663,20190128,4.7299
20200118,5.0773,20190129,4.5693
20200119,5.1684,20190130,4.3288
20200120,5.0331,20190131,4.1077
20200121,4.6223,20190201,3.5982
20200122,4.0822,20190202,3.3558
20200123,3.6324,20190203,2.7268
20200124,2.9284,20190204,2.468
20200125,2.4716,20190205,2.4774
20200126,2.1029,20190206,2.4868
20200127,2.0023,20190207,2.2564
20200128,1.8785,20190208,2.2557
20200129,1.8824,20190209,2.4315
20200130,1.7595,20190210,2.582
20200131,1.8455,20190211,3.4698
20200201,1.8697,20190212,4.0057
20200202,1.7714,20190213,4.376
20200203,1.7787,20190214,4.5592
20200204,1.6619,20190215,4.6525
20200205,1.6223,20190216,4.4364
20200206,1.4878,20190217,4.178
20200207,1.5074,20190218,5.0764
20200208,1.4476,20190219,5.0021
20200209,1.4424,20190220,5.1222
20200210,1.9095,20190221,5.188
20200211,1.7985,20190222,5.3198
20200212,2.0201,20190223,4.9079
20200213,2.0827,20190224,4.5539
20200214,2.1855,20190225,5.5001
20200215,1.8079,20190226,5.5049
20200216,1.7834,20190227,5.6485
20200217,2.5356,20190228,5.8951
20200218,2.6567,20190301,5.9852
20200219,2.7562,20190302,5.2336
20200220,3.0755,20190303,4.8707
20200221,3.3735,20190304,5.7006
20200222,3.0659,20190305,5.8513
20200223,2.9086,20190307,5.7452
20200224,4.202,20190308,5.8955
20200225,4.2638,20190309,5.2262
20200226,4.3614,20190310,4.9702
20200227,4.5385,20190311,5.8298
20200228,4.4498,20190312,5.8849
20200229,3.9692,20190313,5.8989
20200301,3.6713,20190314,5.7895
20200302,5.0762,20190315,6.0369
20200303,5.1385,20190316,5.4659
20200304,5.2183,20190317,4.9337
20200305,5.2909,20190318,5.7118
20200306,5.3668,20190319,5.8401
20200307,4.731,20190320,5.8493
20200308,4.3265,20190321,5.8347
20200309,5.4874,20190322,6.0153
20200310,5.6279,20190323,5.4174
20200311,5.7699,20190324,5.0172
20200312,5.826,20190325,5.9159
20200313,5.8295,20190326,5.8345
