date1,intensity1,date2,intensity2
2020-01-10,5.2171,2019-01-21,4.1991
2020-01-11,4.4613,2019-01-22,4.1418
2020-01-12,4.2045,2019-01-23,4.1328
2020-01-13,5.1656,2019-01-24,4.2874
2020-01-14,5.1121,2019-01-25,4.152
2020-01-15,4.9132,2019-01-26,3.488
2020-01-16,4.9241,2019-01-27,3.2698
2020-01-17,4.8733,2019-01-28,3.9469
2020-01-18,4.0436,2019-01-29,3.8103
2020-01-19,4.3249,2019-01-30,3.5881
2020-01-20,4.2152,2019-01-31,3.5472
2020-01-21,3.5992,2019-01-02,3.0917
2020-01-22,2.8838,2019-02-02,2.845
2020-01-23,1.9621,2019-03-02,2.3166
2020-01-24,1.2811,2019-04-02,1.9864
2020-01-25,0.8931,2019-05-02,2.031
2020-01-26,0.6259,2019-06-02,2.0023
2020-01-27,0.6573,2019-07-02,1.894
2020-01-28,0.6747,2019-08-02,1.9139
2020-01-29,0.6829,2019-09-02,1.9893
2020-01-30,0.6645,2019-10-02,2.1716
2020-01-31,0.6906,2019-11-02,2.9441
2020-02-01,0.6902,2019-12-02,3.3213
2020-02-02,0.6617,2019-02-13,3.5623
2020-02-03,0.693,2019-02-14,3.6567
2020-02-04,0.6791,2019-02-15,3.64
2020-02-05,0.6667,2019-02-16,3.1617
2020-02-06,0.6,2019-02-17,3.0862
2020-02-07,0.6171,2019-02-18,3.9827
