date1,intensity1,date2,intensity2
20200110,6.5839,20190121,5.3515
20200111,5.8127,20190122,5.3766
20200112,5.4658,20190123,5.331
20200113,6.4386,20190124,5.4219
20200114,6.3802,20190125,5.2454
20200115,6.2638,20190126,4.5232
20200116,5.9882,20190127,4.1158
20200117,5.9663,20190128,4.7299
20200118,5.0773,20190129,4.5693
20200119,5.1684,20190130,4.3288
20200120,5.0331,20190131,4.1077
20200121,4.6223,20190201,3.5982
20200122,4.0822,20190202,3.3558
20200123,3.6324,20190203,2.7268
20200124,2.9284,20190204,2.468
20200125,2.4716,20190205,2.4774
20200126,2.1029,20190206,2.4868
20200127,2.0023,20190207,2.2564
20200128,1.8785,20190208,2.2557
20200129,1.8824,20190209,2.4315
20200130,1.7595,20190210,2.582
20200131,1.8455,20190211,3.4698
20200201,1.8697,20190212,4.0057
20200202,1.7714,20190213,4.376
20200203,1.7787,20190214,4.5592
20200204,1.6619,20190215,4.6525
20200205,1.6223,20190216,4.4364
20200206,1.4878,20190217,4.178
20200207,1.5074,20190218,5.0764
