date,country_nowConfirm,country_heal,country_dead
1.2,291,25,6
1.23,776,34,25
1.24,1218,38,41
1.25,1880,49,56
1.26,2630,51,80
1.27,4369,60,106
1.28,5762,103,132
1.29,7442,124,170
1.3,9336,171,213
1.31,11319,243,259
2.01,13779,328,304
2.02,16402,475,361
2.03,19414,632,425
2.04,22980,892,491
2.05,26343,1153,564
2.06,29032,1542,637
2.07,31823,2052,723
2.08,33788,2651,812
2.09,36043,3283,909
2.1,37693,3998,1017
2.11,38874,4742,1114
2.12,52599,5915,1368
2.13,55823,6728,1381
2.14,56951,8101,1524
2.15,57493,9425,1666
2.16,58010,10853,1772
2.17,58097,12561,1870
2.18,57886,14387,2006
2.19,56386,16157,2121
2.2,55051,18266,2239
2.21,53371,20673,2348
2.22,51689,22907,2445
2.23,49910,24757,2595
2.24,47760,27353,2666
2.25,45697,29775,2718
2.26,43352,32531,2747
2.27,40011,36157,2791
2.28,37502,39049,2838
2.29,35420,41675,2873
3.01,32741,44518,2915
3.02,30096,47260,2946
3.03,27524,49914,2984
3.04,25441,52109,3015
3.05,23872,53793,3045
3.06,22263,55477,3073
3.07,20616,57143,3100
3.08,19097,58684,3123
3.09,17802,59982,3140
3.1,16226,61567,3162
3.11,14920,62887,3173
3.12,13607,64216,3180
3.13,12178,65649,3194
3.14,10822,67022,3204
