search_term,area,date,search_intensity
excel,China,2011-01-01,5358
excel,China,2011-01-02,6214
excel,China,2011-01-03,7562
excel,China,2011-01-04,11853
excel,China,2011-01-05,11835
excel,China,2011-01-06,11854
excel,China,2011-01-07,11121
excel,China,2011-01-08,7893
excel,China,2011-01-09,6892
excel,China,2011-01-10,10876
excel,China,2011-01-11,10597
excel,China,2011-01-12,10777
excel,China,2011-01-13,10890
excel,China,2011-01-14,10209
excel,China,2011-01-15,7074
excel,China,2011-01-16,6038
excel,China,2011-01-17,10086
excel,China,2011-01-18,9973
excel,China,2011-01-19,9803
excel,China,2011-01-20,9650
excel,China,2011-01-21,9012
excel,China,2011-01-22,6351
excel,China,2011-01-23,5576
excel,China,2011-01-24,8568
excel,China,2011-01-25,8126
excel,China,2011-01-26,7828
excel,China,2011-01-27,7488
excel,China,2011-01-28,6522
excel,China,2011-01-29,4683
excel,China,2011-01-30,5065
excel,China,2011-01-31,4516
excel,China,2011-02-01,3325
excel,China,2011-02-02,2058
excel,China,2011-02-03,1927
excel,China,2011-02-04,2194
excel,China,2011-02-05,2457
excel,China,2011-02-06,2827
excel,China,2011-02-07,2841
excel,China,2011-02-08,3160
excel,China,2011-02-09,5736
excel,China,2011-02-10,7844
excel,China,2011-02-11,8893
excel,China,2011-02-12,8590
excel,China,2011-02-13,6623
excel,China,2011-02-14,9519
excel,China,2011-02-15,11007
excel,China,2011-02-16,10980
excel,China,2011-02-17,9526
excel,China,2011-02-18,10753
excel,China,2011-02-19,8087
excel,China,2011-02-20,7615
excel,China,2011-02-21,12326
excel,China,2011-02-22,12901
excel,China,2011-02-23,8046
excel,China,2011-02-24,5466
excel,China,2011-02-25,9308
excel,China,2011-02-26,8828
excel,China,2011-02-27,8085
excel,China,2011-02-28,13213
excel,China,2011-03-01,14012
excel,China,2011-03-02,13521
excel,China,2011-03-03,13293
excel,China,2011-03-04,12745
excel,China,2011-03-05,9235
excel,China,2011-03-06,8242
excel,China,2011-03-07,12564
excel,China,2011-03-08,11746
excel,China,2011-03-09,13319
excel,China,2011-03-10,13321
excel,China,2011-03-11,12130
excel,China,2011-03-12,8990
excel,China,2011-03-13,7916
excel,China,2011-03-14,12937
excel,China,2011-03-15,12809
excel,China,2011-03-16,13185
excel,China,2011-03-17,12507
excel,China,2011-03-18,12468
excel,China,2011-03-19,9554
excel,China,2011-03-20,8247
excel,China,2011-03-21,13265
excel,China,2011-03-22,13064
excel,China,2011-03-23,13297
excel,China,2011-03-24,13322
excel,China,2011-03-25,12509
excel,China,2011-03-26,9416
excel,China,2011-03-27,8224
excel,China,2011-03-28,12861
excel,China,2011-03-29,13086
excel,China,2011-03-30,13313
excel,China,2011-03-31,13157
excel,China,2011-04-01,13464
excel,China,2011-04-02,12269
excel,China,2011-04-03,8188
excel,China,2011-04-04,7924
excel,China,2011-04-05,7421
excel,China,2011-04-06,13257
excel,China,2011-04-07,13533
excel,China,2011-04-08,12396
excel,China,2011-04-09,9260
excel,China,2011-04-10,8414
excel,China,2011-04-11,13407
excel,China,2011-04-12,13578
excel,China,2011-04-13,14231
excel,China,2011-04-14,13942
excel,China,2011-04-15,13177
excel,China,2011-04-16,9632
excel,China,2011-04-17,8502
excel,China,2011-04-18,13031
excel,China,2011-04-19,13022
excel,China,2011-04-20,13338
excel,China,2011-04-21,13672
excel,China,2011-04-22,12677
excel,China,2011-04-23,9382
excel,China,2011-04-24,7860
excel,China,2011-04-25,12799
excel,China,2011-04-26,13029
excel,China,2011-04-27,12793
excel,China,2011-04-28,12134
excel,China,2011-04-29,10738
excel,China,2011-04-30,7338
excel,China,2011-05-01,5816
excel,China,2011-05-02,7078
excel,China,2011-05-03,12753
excel,China,2011-05-04,13124
excel,China,2011-05-05,13490
excel,China,2011-05-06,12617
excel,China,2011-05-07,9177
excel,China,2011-05-08,7946
excel,China,2011-05-09,13205
excel,China,2011-05-10,13052
excel,China,2011-05-11,13243
excel,China,2011-05-12,12922
excel,China,2011-05-13,12291
excel,China,2011-05-14,8910
excel,China,2011-05-15,7849
excel,China,2011-05-16,12886
excel,China,2011-05-17,13415
excel,China,2011-05-18,13196
excel,China,2011-05-19,12782
excel,China,2011-05-20,12052
excel,China,2011-05-21,8830
excel,China,2011-05-22,7709
excel,China,2011-05-23,12933
excel,China,2011-05-24,12828
excel,China,2011-05-25,13112
excel,China,2011-05-26,12952
excel,China,2011-05-27,12348
excel,China,2011-05-28,8854
excel,China,2011-05-29,7886
excel,China,2011-05-30,12843
excel,China,2011-05-31,13092
excel,China,2011-06-01,13492
excel,China,2011-06-02,13750
excel,China,2011-06-03,11890
excel,China,2011-06-04,8174
excel,China,2011-06-05,6716
excel,China,2011-06-06,6569
excel,China,2011-06-07,13206
excel,China,2011-06-08,13162
excel,China,2011-06-09,12961
excel,China,2011-06-10,12722
excel,China,2011-06-11,9287
excel,China,2011-06-12,8185
excel,China,2011-06-13,12930
excel,China,2011-06-14,14164
excel,China,2011-06-15,13915
excel,China,2011-06-16,13405
excel,China,2011-06-17,12414
excel,China,2011-06-18,8759
excel,China,2011-06-19,7517
excel,China,2011-06-20,12708
excel,China,2011-06-21,12926
excel,China,2011-06-22,13072
excel,China,2011-06-23,13103
excel,China,2011-06-24,11810
excel,China,2011-06-25,8783
excel,China,2011-06-26,7762
excel,China,2011-06-27,12601
excel,China,2011-06-28,12662
excel,China,2011-06-29,12829
excel,China,2011-06-30,13156
excel,China,2011-07-01,13043
excel,China,2011-07-02,9627
excel,China,2011-07-03,8414
excel,China,2011-07-04,13211
excel,China,2011-07-05,13280
excel,China,2011-07-06,13512
excel,China,2011-07-07,7484
excel,China,2011-07-08,11167
excel,China,2011-07-09,8791
excel,China,2011-07-10,8022
excel,China,2011-07-11,13023
excel,China,2011-07-12,13015
excel,China,2011-07-13,13120
excel,China,2011-07-14,13071
excel,China,2011-07-15,12114
excel,China,2011-07-16,8686
excel,China,2011-07-17,7528
excel,China,2011-07-18,12892
excel,China,2011-07-19,13024
excel,China,2011-07-20,12782
excel,China,2011-07-21,12735
excel,China,2011-07-22,12098
excel,China,2011-07-23,8267
excel,China,2011-07-24,7364
excel,China,2011-07-25,12048
excel,China,2011-07-26,11818
excel,China,2011-07-27,12164
excel,China,2011-07-28,12239
excel,China,2011-07-29,11524
excel,China,2011-07-30,8528
excel,China,2011-07-31,7607
excel,China,2011-08-01,13186
excel,China,2011-08-02,13249
excel,China,2011-08-03,13266
excel,China,2011-08-04,13048
excel,China,2011-08-05,11782
excel,China,2011-08-06,7706
excel,China,2011-08-07,7497
excel,China,2011-08-08,12589
excel,China,2011-08-09,12846
excel,China,2011-08-10,12654
excel,China,2011-08-11,12365
excel,China,2011-08-12,11315
excel,China,2011-08-13,7787
