search_term,area,date,search_intensity
zoom,China,2011-01-01,502
zoom,China,2011-01-02,514
zoom,China,2011-01-03,454
zoom,China,2011-01-04,515
zoom,China,2011-01-05,464
zoom,China,2011-01-06,522
zoom,China,2011-01-07,519
zoom,China,2011-01-08,517
zoom,China,2011-01-09,472
zoom,China,2011-01-10,524
zoom,China,2011-01-11,512
zoom,China,2011-01-12,531
zoom,China,2011-01-13,513
zoom,China,2011-01-14,553
zoom,China,2011-01-15,514
zoom,China,2011-01-16,487
zoom,China,2011-01-17,498
zoom,China,2011-01-18,542
zoom,China,2011-01-19,519
zoom,China,2011-01-20,515
zoom,China,2011-01-21,472
zoom,China,2011-01-22,541
zoom,China,2011-01-23,427
zoom,China,2011-01-24,497
zoom,China,2011-01-25,516
zoom,China,2011-01-26,517
zoom,China,2011-01-27,558
zoom,China,2011-01-28,506
zoom,China,2011-01-29,404
zoom,China,2011-01-30,523
zoom,China,2011-01-31,478
zoom,China,2011-02-01,447
zoom,China,2011-02-02,363
zoom,China,2011-02-03,331
zoom,China,2011-02-04,388
zoom,China,2011-02-05,381
zoom,China,2011-02-06,370
zoom,China,2011-02-07,429
zoom,China,2011-02-08,446
zoom,China,2011-02-09,520
zoom,China,2011-02-10,505
zoom,China,2011-02-11,602
zoom,China,2011-02-12,579
zoom,China,2011-02-13,449
zoom,China,2011-02-14,513
zoom,China,2011-02-15,580
zoom,China,2011-02-16,596
zoom,China,2011-02-17,546
zoom,China,2011-02-18,463
zoom,China,2011-02-19,450
zoom,China,2011-02-20,493
zoom,China,2011-02-21,553
zoom,China,2011-02-22,509
zoom,China,2011-02-23,539
zoom,China,2011-02-24,561
zoom,China,2011-02-25,595
zoom,China,2011-02-26,648
zoom,China,2011-02-27,548
zoom,China,2011-02-28,627
zoom,China,2011-03-01,513
zoom,China,2011-03-02,643
zoom,China,2011-03-03,600
zoom,China,2011-03-04,635
zoom,China,2011-03-05,534
zoom,China,2011-03-06,562
zoom,China,2011-03-07,597
zoom,China,2011-03-08,576
zoom,China,2011-03-09,608
zoom,China,2011-03-10,679
zoom,China,2011-03-11,603
zoom,China,2011-03-12,535
zoom,China,2011-03-13,611
zoom,China,2011-03-14,625
zoom,China,2011-03-15,620
zoom,China,2011-03-16,564
zoom,China,2011-03-17,607
zoom,China,2011-03-18,653
zoom,China,2011-03-19,558
zoom,China,2011-03-20,597
zoom,China,2011-03-21,599
zoom,China,2011-03-22,625
zoom,China,2011-03-23,634
zoom,China,2011-03-24,643
zoom,China,2011-03-25,647
zoom,China,2011-03-26,560
zoom,China,2011-03-27,555
zoom,China,2011-03-28,692
zoom,China,2011-03-29,660
zoom,China,2011-03-30,657
zoom,China,2011-03-31,650
zoom,China,2011-04-01,701
zoom,China,2011-04-02,696
zoom,China,2011-04-03,552
zoom,China,2011-04-04,570
zoom,China,2011-04-05,598
zoom,China,2011-04-06,726
zoom,China,2011-04-07,701
zoom,China,2011-04-08,624
zoom,China,2011-04-09,597
zoom,China,2011-04-10,589
zoom,China,2011-04-11,671
zoom,China,2011-04-12,650
zoom,China,2011-04-13,656
zoom,China,2011-04-14,686
zoom,China,2011-04-15,635
zoom,China,2011-04-16,553
zoom,China,2011-04-17,663
zoom,China,2011-04-18,704
zoom,China,2011-04-19,679
zoom,China,2011-04-20,648
zoom,China,2011-04-21,669
zoom,China,2011-04-22,613
zoom,China,2011-04-23,581
zoom,China,2011-04-24,549
zoom,China,2011-04-25,670
zoom,China,2011-04-26,629
zoom,China,2011-04-27,651
zoom,China,2011-04-28,607
zoom,China,2011-04-29,531
zoom,China,2011-04-30,572
zoom,China,2011-05-01,540
zoom,China,2011-05-02,553
zoom,China,2011-05-03,708
zoom,China,2011-05-04,620
zoom,China,2011-05-05,598
zoom,China,2011-05-06,651
zoom,China,2011-05-07,606
zoom,China,2011-05-08,601
zoom,China,2011-05-09,695
zoom,China,2011-05-10,655
zoom,China,2011-05-11,667
zoom,China,2011-05-12,698
zoom,China,2011-05-13,605
zoom,China,2011-05-14,594
zoom,China,2011-05-15,557
zoom,China,2011-05-16,634
zoom,China,2011-05-17,686
zoom,China,2011-05-18,620
zoom,China,2011-05-19,630
zoom,China,2011-05-20,651
zoom,China,2011-05-21,576
zoom,China,2011-05-22,598
zoom,China,2011-05-23,653
zoom,China,2011-05-24,614
zoom,China,2011-05-25,619
zoom,China,2011-05-26,617
zoom,China,2011-05-27,598
zoom,China,2011-05-28,547
zoom,China,2011-05-29,593
zoom,China,2011-05-30,637
zoom,China,2011-05-31,644
zoom,China,2011-06-01,614
zoom,China,2011-06-02,593
zoom,China,2011-06-03,538
zoom,China,2011-06-04,519
zoom,China,2011-06-05,526
zoom,China,2011-06-06,546
zoom,China,2011-06-07,618
zoom,China,2011-06-08,594
zoom,China,2011-06-09,639
zoom,China,2011-06-10,654
zoom,China,2011-06-11,551
zoom,China,2011-06-12,559
zoom,China,2011-06-13,627
zoom,China,2011-06-14,602
zoom,China,2011-06-15,674
zoom,China,2011-06-16,614
zoom,China,2011-06-17,671
zoom,China,2011-06-18,607
zoom,China,2011-06-19,565
zoom,China,2011-06-20,671
zoom,China,2011-06-21,666
zoom,China,2011-06-22,589
zoom,China,2011-06-23,626
zoom,China,2011-06-24,632
zoom,China,2011-06-25,561
zoom,China,2011-06-26,516
zoom,China,2011-06-27,645
zoom,China,2011-06-28,577
zoom,China,2011-06-29,651
zoom,China,2011-06-30,565
zoom,China,2011-07-01,573
zoom,China,2011-07-02,566
zoom,China,2011-07-03,525
zoom,China,2011-07-04,641
zoom,China,2011-07-05,624
zoom,China,2011-07-06,600
zoom,China,2011-07-07,664
zoom,China,2011-07-08,577
zoom,China,2011-07-09,522
zoom,China,2011-07-10,545
zoom,China,2011-07-11,639
zoom,China,2011-07-12,640
zoom,China,2011-07-13,603
zoom,China,2011-07-14,660
zoom,China,2011-07-15,600
zoom,China,2011-07-16,489
zoom,China,2011-07-17,523
zoom,China,2011-07-18,642
zoom,China,2011-07-19,633
zoom,China,2011-07-20,671
zoom,China,2011-07-21,625
zoom,China,2011-07-22,627
zoom,China,2011-07-23,545
zoom,China,2011-07-24,502
zoom,China,2011-07-25,553
zoom,China,2011-07-26,582
zoom,China,2011-07-27,628
zoom,China,2011-07-28,589
zoom,China,2011-07-29,636
zoom,China,2011-07-30,505
zoom,China,2011-07-31,530
zoom,China,2011-08-01,680
zoom,China,2011-08-02,632
zoom,China,2011-08-03,703
zoom,China,2011-08-04,645
zoom,China,2011-08-05,682
zoom,China,2011-08-06,494
zoom,China,2011-08-07,527
zoom,China,2011-08-08,646
zoom,China,2011-08-09,685
zoom,China,2011-08-10,656
zoom,China,2011-08-11,699
zoom,China,2011-08-12,602
zoom,China,2011-08-13,520
zoom,China,2011-08-14,563
zoom,China,2011-08-15,666
zoom,China,2011-08-16,660
zoom,China,2011-08-17,619
zoom,China,2011-08-18,667
zoom,China,2011-08-19,600
zoom,China,2011-08-20,548
zoom,China,2011-08-21,635
zoom,China,2011-08-22,690
zoom,China,2011-08-23,642
zoom,China,2011-08-24,715
zoom,China,2011-08-25,712
zoom,China,2011-08-26,599
zoom,China,2011-08-27,570
zoom,China,2011-08-28,560
zoom,China,2011-08-29,695
zoom,China,2011-08-30,741
zoom,China,2011-08-31,749
zoom,China,2011-09-01,723
zoom,China,2011-09-02,679
zoom,China,2011-09-03,694
zoom,China,2011-09-04,631
zoom,China,2011-09-05,811
zoom,China,2011-09-06,768
zoom,China,2011-09-07,741
zoom,China,2011-09-08,777
zoom,China,2011-09-09,754
zoom,China,2011-09-10,568
zoom,China,2011-09-11,604
