search_term,area,date,search_intensity
telecommuting,China,2011-01-01,61
telecommuting,China,2011-01-02,66
telecommuting,China,2011-01-03,66
telecommuting,China,2011-01-04,82
telecommuting,China,2011-01-05,151
telecommuting,China,2011-01-06,152
telecommuting,China,2011-01-07,133
telecommuting,China,2011-01-08,68
telecommuting,China,2011-01-09,68
telecommuting,China,2011-01-10,82
telecommuting,China,2011-01-11,66
telecommuting,China,2011-01-12,72
telecommuting,China,2011-01-13,85
telecommuting,China,2011-01-14,68
telecommuting,China,2011-01-15,66
telecommuting,China,2011-01-16,126
telecommuting,China,2011-01-17,57
telecommuting,China,2011-01-18,70
telecommuting,China,2011-01-19,64
telecommuting,China,2011-01-20,70
telecommuting,China,2011-01-21,68
telecommuting,China,2011-01-22,64
telecommuting,China,2011-01-23,63
telecommuting,China,2011-01-24,72
telecommuting,China,2011-01-25,130
telecommuting,China,2011-01-26,128
telecommuting,China,2011-01-27,134
telecommuting,China,2011-01-28,131
telecommuting,China,2011-01-29,128
telecommuting,China,2011-01-30,125
telecommuting,China,2011-01-31,124
telecommuting,China,2011-02-01,57
telecommuting,China,2011-02-02,61
telecommuting,China,2011-02-03,60
telecommuting,China,2011-02-04,60
telecommuting,China,2011-02-05,58
telecommuting,China,2011-02-06,61
telecommuting,China,2011-02-07,119
telecommuting,China,2011-02-08,119
telecommuting,China,2011-02-09,126
telecommuting,China,2011-02-10,136
telecommuting,China,2011-02-11,136
telecommuting,China,2011-02-12,60
telecommuting,China,2011-02-13,127
telecommuting,China,2011-02-14,129
telecommuting,China,2011-02-15,124
telecommuting,China,2011-02-16,124
telecommuting,China,2011-02-17,132
telecommuting,China,2011-02-18,136
telecommuting,China,2011-02-19,66
telecommuting,China,2011-02-20,68
telecommuting,China,2011-02-21,136
telecommuting,China,2011-02-22,87
telecommuting,China,2011-02-23,82
telecommuting,China,2011-02-24,146
telecommuting,China,2011-02-25,74
telecommuting,China,2011-02-26,83
telecommuting,China,2011-02-27,70
telecommuting,China,2011-02-28,70
telecommuting,China,2011-03-01,72
telecommuting,China,2011-03-02,76
telecommuting,China,2011-03-03,74
telecommuting,China,2011-03-04,68
telecommuting,China,2011-03-05,63
telecommuting,China,2011-03-06,87
telecommuting,China,2011-03-07,68
telecommuting,China,2011-03-08,121
telecommuting,China,2011-03-09,74
telecommuting,China,2011-03-10,83
telecommuting,China,2011-03-11,85
telecommuting,China,2011-03-12,80
telecommuting,China,2011-03-13,78
telecommuting,China,2011-03-14,76
telecommuting,China,2011-03-15,74
telecommuting,China,2011-03-16,132
telecommuting,China,2011-03-17,72
telecommuting,China,2011-03-18,74
telecommuting,China,2011-03-19,72
telecommuting,China,2011-03-20,68
telecommuting,China,2011-03-21,66
telecommuting,China,2011-03-22,76
telecommuting,China,2011-03-23,66
telecommuting,China,2011-03-24,126
telecommuting,China,2011-03-25,72
telecommuting,China,2011-03-26,83
telecommuting,China,2011-03-27,74
telecommuting,China,2011-03-28,131
telecommuting,China,2011-03-29,74
telecommuting,China,2011-03-30,140
telecommuting,China,2011-03-31,70
telecommuting,China,2011-04-01,123
telecommuting,China,2011-04-02,74
telecommuting,China,2011-04-03,64
telecommuting,China,2011-04-04,64
telecommuting,China,2011-04-05,74
telecommuting,China,2011-04-06,129
telecommuting,China,2011-04-07,72
telecommuting,China,2011-04-08,136
telecommuting,China,2011-04-09,64
telecommuting,China,2011-04-10,68
telecommuting,China,2011-04-11,68
telecommuting,China,2011-04-12,72
telecommuting,China,2011-04-13,139
telecommuting,China,2011-04-14,143
telecommuting,China,2011-04-15,66
telecommuting,China,2011-04-16,64
telecommuting,China,2011-04-17,70
telecommuting,China,2011-04-18,134
telecommuting,China,2011-04-19,74
telecommuting,China,2011-04-20,125
telecommuting,China,2011-04-21,135
telecommuting,China,2011-04-22,127
telecommuting,China,2011-04-23,82
telecommuting,China,2011-04-24,128
telecommuting,China,2011-04-25,125
telecommuting,China,2011-04-26,72
telecommuting,China,2011-04-27,76
telecommuting,China,2011-04-28,87
telecommuting,China,2011-04-29,68
telecommuting,China,2011-04-30,68
telecommuting,China,2011-05-01,121
telecommuting,China,2011-05-02,72
telecommuting,China,2011-05-03,72
telecommuting,China,2011-05-04,82
telecommuting,China,2011-05-05,70
telecommuting,China,2011-05-06,97
telecommuting,China,2011-05-07,66
telecommuting,China,2011-05-08,74
telecommuting,China,2011-05-09,82
telecommuting,China,2011-05-10,89
telecommuting,China,2011-05-11,64
telecommuting,China,2011-05-12,72
telecommuting,China,2011-05-13,133
telecommuting,China,2011-05-14,78
telecommuting,China,2011-05-15,78
telecommuting,China,2011-05-16,82
telecommuting,China,2011-05-17,145
telecommuting,China,2011-05-18,63
telecommuting,China,2011-05-19,68
telecommuting,China,2011-05-20,76
telecommuting,China,2011-05-21,66
telecommuting,China,2011-05-22,70
telecommuting,China,2011-05-23,139
telecommuting,China,2011-05-24,144
telecommuting,China,2011-05-25,137
telecommuting,China,2011-05-26,136
telecommuting,China,2011-05-27,63
telecommuting,China,2011-05-28,66
telecommuting,China,2011-05-29,82
telecommuting,China,2011-05-30,121
telecommuting,China,2011-05-31,123
telecommuting,China,2011-06-01,131
telecommuting,China,2011-06-02,143
telecommuting,China,2011-06-03,83
telecommuting,China,2011-06-04,76
telecommuting,China,2011-06-05,64
telecommuting,China,2011-06-06,72
telecommuting,China,2011-06-07,78
telecommuting,China,2011-06-08,76
telecommuting,China,2011-06-09,70
telecommuting,China,2011-06-10,78
telecommuting,China,2011-06-11,66
telecommuting,China,2011-06-12,66
telecommuting,China,2011-06-13,70
telecommuting,China,2011-06-14,141
telecommuting,China,2011-06-15,131
telecommuting,China,2011-06-16,76
telecommuting,China,2011-06-17,76
telecommuting,China,2011-06-18,138
telecommuting,China,2011-06-19,72
telecommuting,China,2011-06-20,137
telecommuting,China,2011-06-21,83
telecommuting,China,2011-06-22,57
telecommuting,China,2011-06-23,72
telecommuting,China,2011-06-24,74
telecommuting,China,2011-06-25,64
telecommuting,China,2011-06-26,61
telecommuting,China,2011-06-27,127
telecommuting,China,2011-06-28,82
telecommuting,China,2011-06-29,144
telecommuting,China,2011-06-30,128
telecommuting,China,2011-07-01,137
telecommuting,China,2011-07-02,124
telecommuting,China,2011-07-03,68
telecommuting,China,2011-07-04,68
telecommuting,China,2011-07-05,78
telecommuting,China,2011-07-06,63
telecommuting,China,2011-07-07,74
telecommuting,China,2011-07-08,70
telecommuting,China,2011-07-09,64
telecommuting,China,2011-07-10,68
telecommuting,China,2011-07-11,74
telecommuting,China,2011-07-12,72
telecommuting,China,2011-07-13,70
telecommuting,China,2011-07-14,129
telecommuting,China,2011-07-15,61
telecommuting,China,2011-07-16,63
telecommuting,China,2011-07-17,64
telecommuting,China,2011-07-18,66
telecommuting,China,2011-07-19,64
telecommuting,China,2011-07-20,74
telecommuting,China,2011-07-21,70
telecommuting,China,2011-07-22,70
telecommuting,China,2011-07-23,127
telecommuting,China,2011-07-24,118
telecommuting,China,2011-07-25,63
telecommuting,China,2011-07-26,66
telecommuting,China,2011-07-27,74
telecommuting,China,2011-07-28,68
telecommuting,China,2011-07-29,87
telecommuting,China,2011-07-30,63
telecommuting,China,2011-07-31,0
telecommuting,China,2011-08-01,125
telecommuting,China,2011-08-02,82
telecommuting,China,2011-08-03,72
telecommuting,China,2011-08-04,139
telecommuting,China,2011-08-05,68
telecommuting,China,2011-08-06,64
telecommuting,China,2011-08-07,0
telecommuting,China,2011-08-08,63
telecommuting,China,2011-08-09,70
telecommuting,China,2011-08-10,72
telecommuting,China,2011-08-11,74
telecommuting,China,2011-08-12,126
telecommuting,China,2011-08-13,70
telecommuting,China,2011-08-14,66
telecommuting,China,2011-08-15,78
telecommuting,China,2011-08-16,70
telecommuting,China,2011-08-17,61
telecommuting,China,2011-08-18,76
telecommuting,China,2011-08-19,66
telecommuting,China,2011-08-20,61
telecommuting,China,2011-08-21,66
telecommuting,China,2011-08-22,68
telecommuting,China,2011-08-23,66
telecommuting,China,2011-08-24,64
telecommuting,China,2011-08-25,70
telecommuting,China,2011-08-26,66
telecommuting,China,2011-08-27,63
telecommuting,China,2011-08-28,70
telecommuting,China,2011-08-29,74
telecommuting,China,2011-08-30,66
telecommuting,China,2011-08-31,64
telecommuting,China,2011-09-01,68
telecommuting,China,2011-09-02,64
telecommuting,China,2011-09-03,66
telecommuting,China,2011-09-04,141
telecommuting,China,2011-09-05,63
telecommuting,China,2011-09-06,82
telecommuting,China,2011-09-07,134
telecommuting,China,2011-09-08,74
telecommuting,China,2011-09-09,121
telecommuting,China,2011-09-10,61
telecommuting,China,2011-09-11,63
telecommuting,China,2011-09-12,0
telecommuting,China,2011-09-13,78
telecommuting,China,2011-09-14,142
telecommuting,China,2011-09-15,72
telecommuting,China,2011-09-16,135
telecommuting,China,2011-09-17,68
telecommuting,China,2011-09-18,82
telecommuting,China,2011-09-19,72
telecommuting,China,2011-09-20,78
telecommuting,China,2011-09-21,70
telecommuting,China,2011-09-22,76
telecommuting,China,2011-09-23,80
telecommuting,China,2011-09-24,66
telecommuting,China,2011-09-25,131
telecommuting,China,2011-09-26,140
telecommuting,China,2011-09-27,82
telecommuting,China,2011-09-28,68
telecommuting,China,2011-09-29,78
telecommuting,China,2011-09-30,68
telecommuting,China,2011-10-01,63
telecommuting,China,2011-10-02,0
telecommuting,China,2011-10-03,125
telecommuting,China,2011-10-04,63
telecommuting,China,2011-10-05,0
telecommuting,China,2011-10-06,70
telecommuting,China,2011-10-07,125
telecommuting,China,2011-10-08,131
telecommuting,China,2011-10-09,74
telecommuting,China,2011-10-10,140
telecommuting,China,2011-10-11,68
telecommuting,China,2011-10-12,139
telecommuting,China,2011-10-13,132
telecommuting,China,2011-10-14,87
telecommuting,China,2011-10-15,125
telecommuting,China,2011-10-16,74
telecommuting,China,2011-10-17,74
telecommuting,China,2011-10-18,93
telecommuting,China,2011-10-19,162
telecommuting,China,2011-10-20,147
telecommuting,China,2011-10-21,70
telecommuting,China,2011-10-22,61
telecommuting,China,2011-10-23,141
telecommuting,China,2011-10-24,82
telecommuting,China,2011-10-25,139
telecommuting,China,2011-10-26,133
telecommuting,China,2011-10-27,70
telecommuting,China,2011-10-28,140
telecommuting,China,2011-10-29,70
telecommuting,China,2011-10-30,129
telecommuting,China,2011-10-31,85
telecommuting,China,2011-11-01,144
telecommuting,China,2011-11-02,140
telecommuting,China,2011-11-03,146
telecommuting,China,2011-11-04,72
telecommuting,China,2011-11-05,74
telecommuting,China,2011-11-06,83
telecommuting,China,2011-11-07,87
telecommuting,China,2011-11-08,154
telecommuting,China,2011-11-09,87
telecommuting,China,2011-11-10,99
telecommuting,China,2011-11-11,66
telecommuting,China,2011-11-12,89
telecommuting,China,2011-11-13,138
telecommuting,China,2011-11-14,112
telecommuting,China,2011-11-15,80
telecommuting,China,2011-11-16,80
telecommuting,China,2011-11-17,83
telecommuting,China,2011-11-18,135
telecommuting,China,2011-11-19,70
telecommuting,China,2011-11-20,66
telecommuting,China,2011-11-21,143
telecommuting,China,2011-11-22,154
telecommuting,China,2011-11-23,76
telecommuting,China,2011-11-24,161
telecommuting,China,2011-11-25,80
telecommuting,China,2011-11-26,61
telecommuting,China,2011-11-27,64
telecommuting,China,2011-11-28,97
telecommuting,China,2011-11-29,72
telecommuting,China,2011-11-30,89
telecommuting,China,2011-12-01,72
telecommuting,China,2011-12-02,68
telecommuting,China,2011-12-03,70
telecommuting,China,2011-12-04,66
telecommuting,China,2011-12-05,78
telecommuting,China,2011-12-06,74
telecommuting,China,2011-12-07,91
telecommuting,China,2011-12-08,78
telecommuting,China,2011-12-09,129
telecommuting,China,2011-12-10,72
telecommuting,China,2011-12-11,66
telecommuting,China,2011-12-12,70
telecommuting,China,2011-12-13,68
telecommuting,China,2011-12-14,61
telecommuting,China,2011-12-15,68
telecommuting,China,2011-12-16,68
telecommuting,China,2011-12-17,64
telecommuting,China,2011-12-18,72
telecommuting,China,2011-12-19,68
telecommuting,China,2011-12-20,83
telecommuting,China,2011-12-21,72
telecommuting,China,2011-12-22,63
telecommuting,China,2011-12-23,66
telecommuting,China,2011-12-24,63
telecommuting,China,2011-12-25,57
telecommuting,China,2011-12-26,72
