date,country,province,city,confirmed,suspected,cured,dead
2019-12-01,China,,,1,0,0,0
2019-12-01,China,HuBeiProvince,,1,0,0,0
2019-12-01,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-02,China,,,1,0,0,0
2019-12-02,China,HuBeiProvince,,1,0,0,0
2019-12-02,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-03,China,,,1,0,0,0
2019-12-04,China,HuBeiProvince,,1,0,0,0
2019-12-05,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-06,China,,,1,0,0,0
2019-12-07,China,HuBeiProvince,,1,0,0,0
2019-12-08,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-09,China,,,1,0,0,0
2019-12-10,China,HuBeiProvince,,1,0,0,0
2019-12-05,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-06,China,,,1,0,0,0
2019-12-06,China,HuBeiProvince,,1,0,0,0
2019-12-06,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-07,China,,,1,0,0,0
2019-12-07,China,HuBeiProvince,,1,0,0,0
2019-12-07,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-08,China,,,1,0,0,0
2019-12-08,China,HuBeiProvince,,1,0,0,0
2019-12-08,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-09,China,,,1,0,0,0
2019-12-09,China,HuBeiProvince,,1,0,0,0
2019-12-09,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-10,China,,,1,0,0,0
2019-12-10,China,HuBeiProvince,,1,0,0,0
2019-12-10,China,HuBeiProvince,WuHanCity,1,0,0,0
2019-12-11,China,,,4,0,0,0
2019-12-11,China,HuBeiProvince,,4,0,0,0
2019-12-11,China,HuBeiProvince,WuHanCity,4,0,0,0
2019-12-12,China,,,4,0,0,0
2019-12-12,China,HuBeiProvince,,4,0,0,0
2019-12-12,China,HuBeiProvince,WuHanCity,4,0,0,0
2019-12-13,China,,,4,0,0,0
2019-12-13,China,HuBeiProvince,,4,0,0,0
2019-12-13,China,HuBeiProvince,WuHanCity,4,0,0,0
2019-12-14,China,,,4,0,0,0
2019-12-14,China,HuBeiProvince,,4,0,0,0
2019-12-14,China,HuBeiProvince,WuHanCity,4,0,0,0
2019-12-15,China,,,6,0,0,0
2019-12-15,China,HuBeiProvince,,6,0,0,0
2019-12-15,China,HuBeiProvince,WuHanCity,6,0,0,0
2019-12-16,China,,,6,0,0,0
2019-12-16,China,HuBeiProvince,,6,0,0,0
2019-12-16,China,HuBeiProvince,WuHanCity,6,0,0,0
2019-12-17,China,,,7,0,0,0
2019-12-17,China,HuBeiProvince,,7,0,0,0
2019-12-17,China,HuBeiProvince,WuHanCity,7,0,0,0
2019-12-18,China,,,8,0,0,0
2019-12-18,China,HuBeiProvince,,8,0,0,0
